lycee,ville,type,effectif,success
LYCEE STE JEANNE D'ARC,RENNES,PR,45,91
LYCEE ST LOUIS,RENNES,PR,304,91
LYCEE MARCELIN BERTHELOT,RENNES,PU,133,91
LYCEE NOTRE DAME LE MENIMUR,RENNES,PR,191,91
LYCEE LEOPOLD SEDAR SENGHOR,ROUEN,PU,384,91
LYCEE ANDRE MALRAUX,ROUEN,PU,152,91
LYCEE JACQUES PREVERT,ROUEN,PU,305,91
LYCEE GEORGES DUMEZIL,ROUEN,PU,440,91
LYCEE REY,ROUEN,PR,121,91
LYCEE FENELON,ROUEN,PR,111,91
LYCEE MARC BLOCH,STRASBOURG,PU,317,91
LYCEE ROBERT SCHUMAN,STRASBOURG,PU,446,91
LYCEE LOUIS MARCHAL (GENERAL ET TECHNO.),STRASBOURG,PU,89,91
LYCEE GENERAL LECLERC,STRASBOURG,PU,303,91
INSTIT.LA DOCTRINE CHRETIENNE,STRASBOURG,PR,58,91
LYCEE MARCEL RUDLOFF (GENERAL ET TECHNO.),STRASBOURG,PU,240,91
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.),STRASBOURG,PU,339,91
LYCEE ALFRED KASTLER,STRASBOURG,PU,290,91
LYCEE THEODORE DECK (GENERAL ET TECHNO.),STRASBOURG,PU,222,91
LYCEE ALEXIS MONTEIL,TOULOUSE,PU,258,91
LYCEE SAINT-JOSEPH,TOULOUSE,PR,56,91
LYCEE DE BAGATELLE,TOULOUSE,PU,276,91
LYCEE DEODAT DE SEVERAC,TOULOUSE,PU,314,91
LYCEE JOLIMONT,TOULOUSE,PU,235,91
LYCEE TOULOUSE-LAUTREC,TOULOUSE,PU,474,91
LYCEE PIERRE MENDES FRANCE,TOULOUSE,PU,89,91
LYCEE JEAN JAURES,TOULOUSE,PU,100,91
LYCEE VICTOR HUGO,TOULOUSE,PU,224,91
LYCEE FRANCOIS-JOSEPH TALMA,VERSAILLES,PU,349,91
LYCEE JACQUES PREVERT,VERSAILLES,PU,252,91
LYCEE MARIE LAURENCIN (GENERAL ET TECHNO.),VERSAILLES,PU,368,91
LYCEE LUCIE AUBRAC,VERSAILLES,PU,85,91
LYCEE LEONARD DE VINCI,VERSAILLES,PU,430,91
LYCEE LEONARD DE VINCI,VERSAILLES,PU,162,91
LYCEE JACQUES PREVERT,VERSAILLES,PU,306,91
LYCEE JULES FERRY,VERSAILLES,PU,324,91
LYCEE D'HOTELLERIE ET DE TOURISME,VERSAILLES,PU,62,91
LYCEE FELIX ESCLANGON,AIX-MARSEILLE,PU,302,90
LYCEE CELONY,AIX-MARSEILLE,PR,58,90
LYCEE MARIE MADELEINE FOURCADE,AIX-MARSEILLE,PU,394,90
LYCEE HOTELIER REGIONAL,AIX-MARSEILLE,PU,54,90
LYCEE VIALA LACOSTE,AIX-MARSEILLE,PR,101,90
LYCEE EMPERI (L'),AIX-MARSEILLE,PU,332,90
LYCEE ARISTIDE BRIAND,AIX-MARSEILLE,PU,375,90
LYCEE THEODORE AUBANEL,AIX-MARSEILLE,PU,395,90
LYCEE ISMAEL DAUPHIN,AIX-MARSEILLE,PU,266,90
LYCEE EUROPEEN,AMIENS,PU,168,90
LYCEE ROBERT DE LUZARCHES,AMIENS,PU,304,90
LYCEE LOUIS PERGAUD (GENERAL ET TECHNO.),BESANCON,PU,511,90
LYCEE VICTOR HUGO,BESANCON,PU,346,90
LYCEE GEORGES CUVIER,BESANCON,PU,345,90
LYCEE AUGUSTIN COURNOT (GENERAL ET TECHNO.),BESANCON,PU,188,90
LYCEE SAINTE MARIE,BESANCON,PR,53,90
LYCEE GIRAUT DE BORNEIL,BORDEAUX,PU,48,90
LYCEE ALBERT CLAVEILLE,BORDEAUX,PU,175,90
LYCEE PRE DE CORDY,BORDEAUX,PU,219,90
LYCEE GASTON CRAMPE (GENERAL ET TECHNO.),BORDEAUX,PU,160,90
LYCEE JEAN BAPTISTE DE BAUDRE,BORDEAUX,PU,294,90
LYCEE GEORGE SAND,BORDEAUX,PU,82,90
INSTITUTION JEANNE D'ARC,CAEN,PR,68,90
LYCEE ALAIN CHARTIER,CAEN,PU,183,90
LYCEE JULES DUMONT D'URVILLE (GENERAL ET TECHNO.),CAEN,PU,250,90
LYCEE ANDRE MAUROIS,CAEN,PU,148,90
COURS NOTRE-DAME,CAEN,PR,72,90
LYCEE CLAUDE LEHEC,CAEN,PU,22,90
LYCEE LE BON SAUVEUR,CAEN,PR,57,90
LYCEE PIERRE ET MARIE CURIE,CAEN,PU,193,90
LYCEE MEZERAY (GENERAL ET TECHNO.),CAEN,PU,132,90
LYCEE SAINT PIERRE,CLERMONT-FERRAND,PR,136,90
LYCEE SAINT BENOIT,CLERMONT-FERRAND,PR,42,90
LYCEE JEAN MONNET,CLERMONT-FERRAND,PU,112,90
LYCEE LA FAYETTE,CLERMONT-FERRAND,PU,185,90
LYCEE URUGUAY FRANCE,CRETEIL,PU,288,90
LYCEE HENRI MOISSAN,CRETEIL,PU,322,90
LYCEE JACQUES AMYOT,CRETEIL,PU,186,90
LYCEE CAMILLE CLAUDEL,CRETEIL,PU,233,90
LYCEE LA TOUR DES DAMES (GENERAL ET TECHNO.),CRETEIL,PU,200,90
LYCEE EVARISTE GALOIS (GENERAL ET TECHNO.),CRETEIL,PU,280,90
LYCEE SAMUEL DE CHAMPLAIN,CRETEIL,PU,378,90
LYCEE OZAR HATORAH GARCONS,CRETEIL,PR,21,90
LYCEE GUILLAUME APOLLINAIRE,CRETEIL,PU,368,90
LYCEE PRIEUR DE LA COTE D'OR (GENERAL ET TECHNO.),DIJON,PU,167,90
LYCEE JEAN-MARC BOIVIN,DIJON,PU,184,90
LYCEE HIPPOLYTE FONTAINE,DIJON,PU,197,90
LYCEE LE CASTEL (GENERAL ET TECHNO.),DIJON,PU,261,90
LYCEE MAURICE GENEVOIX (GENERAL ET TECHNO.),DIJON,PU,125,90
LYCEE L'ESPERANCE (GENERAL ET TECHNO.),DIJON,PR,75,90
LYCEE RAOUL FOLLEREAU,DIJON,PU,242,90
LYCEE HILAIRE DE CHARDONNET (GENERAL ET TECHNO.),DIJON,PU,179,90
LYCEE JULES FROMENT,GRENOBLE,PR,184,90
LYCEE DU SACRE COEUR (GENERAL ET TECHNO.),GRENOBLE,PR,145,90
LYCEE FRANCOIS JEAN ARMORIN (GENERAL ET TECHNO.),GRENOBLE,PU,105,90
LYCEE HECTOR BERLIOZ (GENERAL ET TECHNO.),GRENOBLE,PU,191,90
LYCEE JEANNE D'ARC,GRENOBLE,PR,57,90
LYCEE CHARLES GABRIEL PRAVAZ (GENERAL ET TECHNO.),GRENOBLE,PU,194,90
LYCEE LEONARD DE VINCI,GRENOBLE,PU,213,90
PENSIONNAT DE VERSAILLES,GUADELOUPE,PR,82,90
LYCEE STELLA (GENERAL ET TECHNO.),LA REUNION,PU,124,90
LYCEE BELLEPIERRE,LA REUNION,PU,463,90
LYCEE GEORGES BRASSENS,LA REUNION,PU,241,90
LYCEE JESSE DE FOREST (GENERAL ET TECHNO.),LILLE,PU,202,90
LYCEE DES FLANDRES,LILLE,PU,274,90
LYCEE FONDATION DEPOORTER,LILLE,PR,105,90
LYCEE LOUIS PASTEUR,LILLE,PU,274,90
LYCEE SAINT PIERRE,LILLE,PR,85,90
LYCEE FAIDHERBE,LILLE,PU,243,90
INSTITUT SAINT VINCENT DE PAUL,LILLE,PR,206,90
LYCEE MARIETTE,LILLE,PU,478,90
LYCEE DES METIERS DU BATIMENT,LIMOGES,PU,26,90
LYCEE JEAN FAVARD (GENERAL ET TECHNO.),LIMOGES,PU,140,90
LYCEE BEAUPEYRAT,LIMOGES,PR,67,90
LYCEE RAOUL DAUTRY,LIMOGES,PU,191,90
ENSEMBLE SCOLAIRE LAMARTINE,LYON,PR,51,90
LYCEE ARBEZ CARME,LYON,PU,132,90
LYCEE SAINT JOSEPH,LYON,PR,34,90
LYCEE ALBERT THOMAS,LYON,PU,221,90
LYCEE JEAN PUY,LYON,PU,293,90
EXTERNAT DE LA TRINITE,LYON,PR,106,90
LYCEE EDOUARD BRANLY,LYON,PU,193,90
LYCEE NOTRE DAME DE BEL AIR,LYON,PR,127,90
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),LYON,PU,275,90
LYCEE LA MERCI LITTORAL (GENERAL ET TECHNO.),MONTPELLIER,PR,52,90
LYCEE JOSEPH VALLOT (GENERAL ET TECHNO.),MONTPELLIER,PU,153,90
LYCEE VICTOR HUGO (GENERAL ET TECHNO.),MONTPELLIER,PU,205,90
LYCEE JEAN MOULIN,MONTPELLIER,PU,284,90
LYCEE NOTRE-DAME (GENERAL ET TECHNO.),MONTPELLIER,PR,93,90
LYCEE SAINT DOMINIQUE,NANCY-METZ,PR,69,90
LYCEE JACQUES MARQUETTE,NANCY-METZ,PU,238,90
LYCEE JEAN HANZELET (GENERAL ET TECHNO.),NANCY-METZ,PU,48,90
LYCEE JEAN-AUGUSTE MARGUERITTE (GENERAL ET TECHNO.),NANCY-METZ,PU,461,90
LYCEE ERCKMANN CHATRIAN,NANCY-METZ,PU,103,90
LYCEE CHARLEMAGNE,NANCY-METZ,PU,184,90
LYCEE PIERRE MENDES FRANCE,NANCY-METZ,PU,159,90
LYCEE GUY MOQUET - ETIENNE LENOIR (GENERAL ET TECHNO.),NANTES,PU,136,90
LYCEE REAUMUR,NANTES,PU,181,90
LYCEE ANDRE MALRAUX,NANTES,PU,222,90
LYCEE ROBERT GARNIER (GENERAL ET TECHNO.),NANTES,PU,275,90
LYCEE COLBERT DE TORCY - CH. CROS,NANTES,PU,211,90
LYCEE ALFRED KASTLER - GUITTON (GENERAL ET TECHNO.),NANTES,PU,165,90
LYCEE LES EUCALYPTUS,NICE,PU,164,90
LYCEE THIERRY MAULNIER,NICE,PU,407,90
LYCEE ALBERT CAMUS (GENERAL ET TECHNO.),NICE,PU,202,90
LYCEE PAUL LANGEVIN,NICE,PU,213,90
LYCEE DU VAL D'ARGENS (GENERAL ET TECHNO.),NICE,PU,221,90
LYCEE MARIE FRANCE,NICE,PR,36,90
LYCEE BONAPARTE,NICE,PU,380,90
LYCEE HOTELLERIE ET TOURISME TPM,NICE,PU,43,90
LYCEE ALAIN FOURNIER,ORLEANS-TOURS,PU,248,90
LYCEE JACQUES COEUR,ORLEANS-TOURS,PU,391,90
LYCEE HENRI BRISSON,ORLEANS-TOURS,PU,26,90
LYCEE REMI BELLEAU,ORLEANS-TOURS,PU,204,90
LYCEE SAINTE SOLANGE (GENERAL ET TECHNO.),ORLEANS-TOURS,PR,58,90
LYCEE HONORE DE BALZAC,ORLEANS-TOURS,PU,152,90
LYCEE LEONARD DE VINCI,ORLEANS-TOURS,PU,308,90
LYCEE JACQUES DE VAUCANSON,ORLEANS-TOURS,PU,298,90
LYCEE CHATEAU BLANC,ORLEANS-TOURS,PU,28,90
LYCEE EN FORET,ORLEANS-TOURS,PU,502,90
LYCEE DUHAMEL DU MONCEAU,ORLEANS-TOURS,PU,285,90
LYCEE JACQUES DECOUR,PARIS,PU,187,90
LYCEE JULES FERRY,PARIS,PU,205,90
LYCEE NOTRE-DAME -ST VINCENT DE PAUL (GENERAL ET TECHNO.),PARIS,PR,88,90
LYCEE CATHERINE LABOURE (GENERAL ET TECHNO.),PARIS,PR,112,90
LYCEE CLAUDE BERNARD,PARIS,PU,187,90
LYCEE MOLIERE,PARIS,PU,170,90
LYCEE MARGUERITE DE VALOIS,POITIERS,PU,414,90
LYCEE JEAN MONNET (GENERAL ET TECHNO.),POITIERS,PU,257,90
LYCEE MAURICE MERLEAU-PONTY,POITIERS,PU,330,90
LYCEE BELLEVUE,POITIERS,PU,241,90
LYCEE ERNEST PEROCHON,POITIERS,PU,215,90
LYCEE ANDRE THEURIET,POITIERS,PU,130,90
LYCEE MABILLON,REIMS,PR,54,90
LYCEE IMMACULEE CONCEPTION,REIMS,PR,94,90
LYCEE NOTRE-DAME ST VICTOR,REIMS,PR,35,90
LYCEE LEON BOURGEOIS,REIMS,PU,196,90
LYCEE FULGENCE BIENVENUE (GENERAL ET TECHNO.),RENNES,PU,113,90
LYCEE ST PIERRE,RENNES,PR,155,90
LYCEE AMIRAL RONARC'H,RENNES,PU,315,90
LYCEE VAUBAN (GENERAL ET TECHNO.),RENNES,PU,181,90
LYCEE ST JOSEPH,RENNES,PR,130,90
LYCEE ST SEBASTIEN,RENNES,PR,129,90
LYCEE JEAN CHAPTAL,RENNES,PU,177,90
LYCEE JEAN BRITO,RENNES,PU,226,90
LYCEE MARCEL CALLO,RENNES,PR,80,90
LYCEE DE LA SALLE,RENNES,PR,93,90
LYCEE JEAN MACE,RENNES,PU,263,90
LYCEE BROCELIANDE,RENNES,PU,133,90
LYCEE AUGUSTIN FRESNEL,ROUEN,PU,280,90
LYCEE JEHAN ANGO,ROUEN,PU,403,90
LYCEE PROVIDENCE MISERICORDE (GENERAL ET TECHNO.),ROUEN,PR,61,90
LYCEE DE LA COTE D'ALBATRE,ROUEN,PU,168,90
LYCEE SCHURE,STRASBOURG,PU,143,90
LYCEE HAUT-BARR,STRASBOURG,PU,108,90
LYCEE MARIE CURIE,STRASBOURG,PU,231,90
INSTITUT SONNENBERG,STRASBOURG,PR,52,90
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),STRASBOURG,PU,281,90
LYCEE LAVOISIER (GENERAL ET TECHNO.),STRASBOURG,PU,267,90
LYCEE DU COUSERANS,TOULOUSE,PU,96,90
LYCEE LA DECOUVERTE,TOULOUSE,PU,117,90
LYCEE LOUIS QUERBES,TOULOUSE,PR,166,90
LYCEE LE GARROS,TOULOUSE,PU,177,90
LYCEE MARECHAL LANNES (GENERAL ET TECHNO.),TOULOUSE,PU,82,90
LYCEE SAINTE-MARIE DE NEVERS,TOULOUSE,PR,284,90
LYCEE RENE BILLERES,TOULOUSE,PU,81,90
LYCEE LA SERRE DE SARSAN,TOULOUSE,PU,77,90
LYCEE MARIE CURIE,TOULOUSE,PU,356,90
LYCEE LOUIS VICAT,TOULOUSE,PU,25,90
LYCEE LOUIS RASCOL,TOULOUSE,PU,284,90
LYCEE CLAUDE NOUGARO,TOULOUSE,PU,116,90
LYCEE EMMANUEL MOUNIER,VERSAILLES,PU,160,90
LYCEE LA FOLIE SAINT JAMES,VERSAILLES,PU,164,90
LYCEE GERARD DE NERVAL,VERSAILLES,PU,227,90
LYCEE VAUBAN,VERSAILLES,PR,56,90
LYCEE LE CORBUSIER,VERSAILLES,PU,281,90
LYCEE EVARISTE GALOIS,VERSAILLES,PU,435,90
LYCEE JEAN-BAPTISTE POQUELIN,VERSAILLES,PU,244,90
LYCEE MAXIMILIEN DE SULLY,AIX-MARSEILLE,PR,50,89
LYCEE SAINT CHARLES,AMIENS,PR,24,89
LYCEE SAINT JOSEPH,AMIENS,PR,71,89
LYCEE HENRI MARTIN,AMIENS,PU,181,89
LYCEE ST JOSEPH DU MONCEL,AMIENS,PR,81,89
LYCEE MADELEINE MICHELIS,AMIENS,PU,248,89
LYCEE SAINT JEAN,BESANCON,PR,166,89
LYCEE LE GRAND CHENOIS,BESANCON,PU,296,89
LYCEE VIETTE (GENERAL ET TECHNO.),BESANCON,PU,105,89
LYCEE ARMAND PEUGEOT,BESANCON,PU,151,89
LYCEE LOUIS ARAGON (GENERAL ET TECHNO.),BESANCON,PU,150,89
LYCEE GEORGES COLOMB,BESANCON,PU,168,89
LYCEE VICTOR CONSIDERANT,BESANCON,PU,82,89
LYCEE PRE SAINT SAUVEUR,BESANCON,PU,137,89
LYCEE ALCIDE DUSOLIER (GENERAL ET TECHNO.),BORDEAUX,PU,94,89
LYCEE JAUFRE RUDEL,BORDEAUX,PU,265,89
LYCEE JEAN MOULIN,BORDEAUX,PU,253,89
LYCEE RECLUS,BORDEAUX,PU,141,89
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.),BORDEAUX,PU,228,89
LYCEE MARGUERITE FILHOL,BORDEAUX,PU,100,89
LYCEE DE LA CHIMIE ALBERT CAMUS,BORDEAUX,PU,89,89
LYCEE AUGUSTIN FRESNEL,CAEN,PU,293,89
LYCEE JEAN ROSTAND,CAEN,PU,409,89
LYCEE NOTRE DAME DE FIDELITE,CAEN,PR,31,89
LYCEE SAINTE URSULE,CAEN,PR,163,89
LYCEE CHARLES TELLIER,CAEN,PU,95,89
LYCEE LOUIS LIARD (GENERAL ET TECHNO.),CAEN,PU,184,89
LYCEE LES ROSIERS,CAEN,PR,63,89
LYCEE JEAN GUEHENNO,CAEN,PU,182,89
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),CLERMONT-FERRAND,PU,95,89
LYCEE HONORE DE BALZAC (GENERAL ET TECHNO.),CRETEIL,PU,315,89
LYCEE ANDRE MALRAUX,CRETEIL,PU,211,89
LYCEE ETIENNE BEZOUT,CRETEIL,PU,248,89
LYCEE FLORA TRISTAN,CRETEIL,PU,192,89
LYCEE LEON BLUM (GENERAL ET TECHNO.),CRETEIL,PU,280,89
LYCEE ROBERT SCHUMAN,CRETEIL,PR,68,89
LYCEE LES MARCS D'OR,DIJON,PU,47,89
LYCEE MATHIAS (GENERAL ET TECHNO.),DIJON,PU,332,89
LYCEE DES CHAUMES (GENERAL ET TECHNO.),DIJON,PU,85,89
LYCEE CATHERINE ET RAYMOND JANOT,DIJON,PU,528,89
LYCEE MARC SEGUIN,GRENOBLE,PR,30,89
LYCEE MARIE RIVIER,GRENOBLE,PR,114,89
LYCEE DR. GUSTAVE JAUME (GENERAL ET TECHNO.),GRENOBLE,PU,205,89
LYCEE ALBERT TRIBOULET,GRENOBLE,PU,358,89
LYCEE MONTPLAISIR,GRENOBLE,PR,159,89
LYCEE ELIE CARTAN,GRENOBLE,PU,154,89
LYCEE MONGE,GRENOBLE,PU,249,89
LYCEE ROLAND GARROS (GENERAL ET TECHNO.),LA REUNION,PU,611,89
LYCEE PAUL HAZARD,LILLE,PU,375,89
LYCEE DES NERVIENS,LILLE,PU,80,89
LYCEE E.P.I.D.,LILLE,PR,84,89
LYCEE VAL DE LYS,LILLE,PU,96,89
LYCEE EUROPEEN MONTEBELLO,LILLE,PU,360,89
LYCEE EIC LICP,LILLE,PR,367,89
LYCEE RAYMOND QUENEAU,LILLE,PU,344,89
LYCEE GIRAUX SANNIER (GENERAL ET TECHNO.),LILLE,PU,142,89
LYCEE GEORGES CABANIS,LIMOGES,PU,178,89
LYCEE EUGENE JAMOT,LIMOGES,PU,98,89
LYCEE BERNARD PALISSY,LIMOGES,PU,64,89
LYCEE DU BUGEY,LYON,PU,173,89
LYCEE SAINT PAUL FOREZ,LYON,PR,71,89
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.),LYON,PU,221,89
LYCEE ETIENNE MIMARD,LYON,PU,93,89
LYCEE CHARLIE CHAPLIN (GENERAL ET TECHNO.),LYON,PU,475,89
LYCEE DEBORDE,LYON,PR,38,89
LYCEE DE LA SALLE,MONTPELLIER,PR,104,89
LYCEE EMMANUEL D ALZON (GENERAL ET TECHNO.),MONTPELLIER,PR,296,89
LYCEE SAINT STANISLAS - SACRE COEUR,MONTPELLIER,PR,77,89
LYCEE AUGUSTE LOUBATIERES (GENERAL ET TECHNO.),MONTPELLIER,PU,243,89
LYCEE LOUIS FEUILLADE (GENERAL ET TECHNO.),MONTPELLIER,PU,301,89
LYCEE JEAN JAURES (GENERAL ET TECHNO.),MONTPELLIER,PU,374,89
LYCEE EMILE PEYTAVIN,MONTPELLIER,PU,66,89
LYCEE DEODAT DE SEVERAC (GENERAL ET TECHNO.),MONTPELLIER,PU,273,89
LYCEE ARTHUR VAROQUAUX,NANCY-METZ,PU,448,89
LYCEE HENRI VOGT (GENERAL ET TECHNO.),NANCY-METZ,PU,182,89
LYCEE ALFRED KASTLER (GENERAL ET TECHNO.),NANCY-METZ,PU,75,89
LYCEE JULIE DAUBIE (GENERAL ET TECHNO.),NANCY-METZ,PU,346,89
LYCEE JEAN DE PANGE,NANCY-METZ,PU,400,89
LYCEE HELENE BOUCHER,NANCY-METZ,PU,307,89
LYCEE GEORGES BAUMONT,NANCY-METZ,PU,149,89
LYCEE GALILEE,NANTES,PU,146,89
LYCEE SACRE COEUR (GENERAL ET TECHNO.),NANTES,PR,87,89
LYCEE ST JB DE LA SALLE,NANTES,PR,110,89
LYCEE NOTRE DAME,NANTES,PR,37,89
LYCEE LE MANS SUD (GENERAL ET TECHNO.),NANTES,PU,249,89
LYCEE DE LA MONTAGNE (GENERAL ET TECHNO.),NICE,PU,67,89
LYCEE JEAN AICARD,NICE,PU,389,89
LYCEE BEAUSSIER,NICE,PU,459,89
LYCEE EDOUARD BRANLY,ORLEANS-TOURS,PU,175,89
LYCEE BATIMENT-SAINT-LAMBERT,PARIS,PU,45,89
LYCEE RENE JOSUE VALIN,POITIERS,PU,373,89
LYCEE BERNARD PALISSY,POITIERS,PU,281,89
LYCEE LOUIS AUDOUIN DUBREUIL (GENERAL ET TECHNO.),POITIERS,PU,197,89
CITE SCOLAIRE JEAN MOULIN,POITIERS,PU,141,89
LYCEE JEAN MOULIN,POITIERS,PU,106,89
LYCEE ST JACQUES DE COMPOSTELLE,POITIERS,PR,122,89
LYCEE OUDINOT,REIMS,PR,68,89
LYCEE CHARLES DE GAULLE,REIMS,PU,213,89
LYCEE ST MICHEL (GENERAL ET TECHNO.),REIMS,PR,135,89
LYCEE FRANCOIS 1ER,REIMS,PU,209,89
LYCEE SACRE COEUR,RENNES,PR,121,89
LYCEE ESTRAN FENELON,RENNES,PR,129,89
LYCEE JEAN MOULIN,RENNES,PU,148,89
LYCEE JEAN-MARIE LE BRIS,RENNES,PU,103,89
LYCEE ST GABRIEL,RENNES,PR,85,89
LYCEE YVES THEPOT,RENNES,PU,74,89
LYCEE ST ETIENNE (GENERAL ET TECHNO.),RENNES,PR,72,89
LYCEE MAUPERTUIS,RENNES,PU,138,89
LYCEE ARISTIDE BRIAND,ROUEN,PU,431,89
LYCEE SAINT-ADJUTOR,ROUEN,PR,103,89
LYCEE THOMAS CORNEILLE,ROUEN,PU,295,89
LYCEE E. DELAMARE DEBOUTTEVILLE (GENERAL ET TECHNO.),ROUEN,PU,225,89
LYCEE CLAUDE MONET,ROUEN,PU,380,89
LYCEE BLAISE PASCAL (GENERAL ET TECHNO.),ROUEN,PU,240,89
LYCEE RAYMOND QUENEAU (GENERAL ET TECHNO.),ROUEN,PU,320,89
LYCEE GEORGES IMBERT (GENERAL ET TECHNO.),STRASBOURG,PU,90,89
INSTITUTION SAINTE CLOTILDE,STRASBOURG,PR,192,89
LYCEE JOSEPH STORCK (HOTELIER),STRASBOURG,PU,46,89
LYCEE MICHEL DE MONTAIGNE,STRASBOURG,PU,459,89
LYCEE JEAN MERMOZ (GENERAL ET TECHNO.),STRASBOURG,PU,381,89
LYCEE JEANNE D'ARC,TOULOUSE,PR,70,89
LYCEE ALAIN-FOURNIER (GENERAL ET TECHNO.),TOULOUSE,PU,71,89
LYCEE ORT MAURICE GRYNFOGEL,TOULOUSE,PR,54,89
LYCEE MICHELET,TOULOUSE,PU,126,89
LYCEE PEYRAMALE SAINT-JOSEPH,TOULOUSE,PR,45,89
LYCEE PRADEAU-LA SEDE,TOULOUSE,PR,52,89
LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),TOULOUSE,PR,70,89
LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),VERSAILLES,PU,516,89
LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),VERSAILLES,PU,303,89
LYCEE SUGER,VERSAILLES,PR,89,89
LYCEE JULES VERNE (GENERAL ET TECHNO.),VERSAILLES,PU,209,89
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.),VERSAILLES,PU,152,89
LYCEE VAN GOGH,VERSAILLES,PU,454,89
LYCEE FRAGONARD,VERSAILLES,PU,276,89
LYCEE LES SEPT MARES,VERSAILLES,PU,193,89
LYCEE ALEXANDRA DAVID NEEL,AIX-MARSEILLE,PU,215,88
LYCEE ARTHUR RIMBAUD,AIX-MARSEILLE,PU,338,88
LYCEE ORT LEON BRAMSON,AIX-MARSEILLE,PR,38,88
LYCEE JEAN LURCAT,AIX-MARSEILLE,PU,225,88
LYCEE ADAM DE CRAPONNE,AIX-MARSEILLE,PU,411,88
LYCEE PIERRE MENDES FRANCE,AIX-MARSEILLE,PU,288,88
LYCEE JEAN HENRI FABRE (GENERAL ET TECHNO.),AIX-MARSEILLE,PU,260,88
LYCEE VICTOR HUGO,AIX-MARSEILLE,PU,402,88
LYCEE ARC (DE L'),AIX-MARSEILLE,PU,346,88
LYCEE JULES VERNE,AMIENS,PU,133,88
LYCEE GUYNEMER,AMIENS,PR,94,88
LYCEE LA MAISON FRANCAISE,AMIENS,PR,22,88
LYCEE LAMARCK,AMIENS,PU,124,88
LYCEE PIERRE-ADRIEN PARIS,BESANCON,PU,23,88
LYCEE SAINT PAUL,BESANCON,PR,98,88
LYCEE JEAN RENOU (GENERAL ET TECHNO.),BORDEAUX,PU,95,88
LYCEE ST DOMINIQUE,BORDEAUX,PR,162,88
LYCEE ALBERT SOREL (GENERAL ET TECHNO.),CAEN,PU,91,88
